Address,Name Tag,Balance,Percentage,Txn Count
"0x0b4875873abc7d003538f29ac6c4a5261f0d1f08","","800 以太币","0.00066624%","1"
"0x8061f4af6ef70b8d269d75f4a6f4b16433c3ca2f","","800 以太币","0.00066624%","1"
"0xbc10fe809574582d0604ae489aeb4ea6aef4ddcc","","799.9999886 以太币","0.00066624%","3"
"0x7a2da29b908c0c2944f0fbf9a5790b8dc0eeb3b7","","799.99920194 以太币","0.00066624%","1"
"0xb4b056f3d732adbe4d1ae43e8a42e35f38fd0855","","799.9965 以太币","0.00066623%","1"
"0x564217cd29db31b8bbbd2c5ebb6c659a538bfc33","","799.99225626 以太币","0.00066623%","19"
"0xf968b2871d9bacdc0bba1266f760d8beab9c1067","","799.99067318 以太币","0.00066623%","5"
"0x00f99fbe44ea6c7b060572d12e80e6551b4dbf70","","799.98448799 以太币","0.00066622%","12"
"0x27431e7d84bfc70bd8fdffe99f889719392ef69c","","799.98056971 以太币","0.00066622%","415"
"0x900194c4b1074305d19de405b0ac78280ecaf967","","799.97002137 以太币","0.00066621%","35"
"0x52403ef2725af0c01c10665d31d6413ad86f0623","","799.92151085 以太币","0.00066617%","3"
"0x5a5c7723d68d1b402cae75563dccc42451094d1c","","799.91750371 以太币","0.00066617%","4"
"0x77022428accfa19de0bdc5f6e6c6256827d8b69b","","799.89205 以太币","0.00066615%","18"
"0x0ea27675217576bb4588b2cc087ba1a8b85f3121","","799.69496 以太币","0.00066598%","4"
"0x40e05127edcbbdded71ad921410528dd323df5a1","","799.48188802 以太币","0.00066581%","93"
"0x0d58142b8a9513f7def1e5780803239e83ce6a3b","","799.37153415 以太币","0.00066571%","20"
"0x84d068abf108ec71fffe47214c3ae32b023a1178","","799.34826065 以太币","0.00066569%","16"
"0x5e975bb470635a9941f267116deac0685d3557e2","","799.25843419 以太币","0.00066562%","5"
"0x9c19b0497997fe9e75862688a295168070456951","Coincheck","799.01037507 以太币","0.00066541%","465,273"
"0xf12041f0b6c83312a298a29c4dabaff78cbc7514","","798.99871145 以太币","0.00066540%","1"
"0x2c02092f1a0213795ca52067e9c8de1b204994c2","","798.9364666 以太币","0.00066535%","407"
"0x0e554f66691845f198994d712b91b0bfb0f2ee49","","798.78903848 以太币","0.00066523%","82"
"0x970e5499328aa571e14a73c08b4a7569f4f5b6df","","798.77805731 以太币","0.00066522%","2"
"0x7623e9dc0da6ff821ddb9ebaba794054e078f8c4","Ether.fi: Early Adopter Program","798.646539 以太币","0.00066511%","37,264"
"0x92303bf3698977d24dc8d85e0c73c11bbe52d8f4","","798.44385538 以太币","0.00066494%","43"
"0x5802e6ebcf1a7aad118353902f76c23fe12e7b60","","798.18697903 以太币","0.00066473%","4"
"0x0a0244c1ccda3fc27abbe3f8027940ed1324957b","","797.99863885 以太币","0.00066457%","4"
"0xd3be1f9b44493f3ad6f7e23b9baf2e172232e049","","797.71411794 以太币","0.00066433%","87"
"0xc48998a9904f08156c26fce88db2a1d372b832d6","","797.11762924 以太币","0.00066384%","11"
"0x897f5830dc6d7dbf73541ba6b15418b680f5c58e","","796.97675768 以太币","0.00066372%","9"
"0x28fd675f1a1d5c19f2cb017a865aa5728ef06ae4","","796.89587548 以太币","0.00066365%","0"
"0xce08217cbb009d83aa9c595c078729fdcf6e7b2d","","796.83224091 以太币","0.00066360%","3"
"0xf0249c05af5ae76243da959ffdfd2dbe7277a2d1","","796.81597683 以太币","0.00066359%","0"
"0xe87251d2ee8d0b5b4d771f9f0595a0b2c1e181b2","","796.54699742 以太币","0.00066336%","13"
"0x65c0090bbaadc83590c11c67be936370205b559b","","796.52795262 以太币","0.00066335%","2"
"0x14e318c09eb7cf77826b359bd8695d040f72ec10","","795.93697439 以太币","0.00066285%","111"
"0x3d71fc68a9514618d2dd81251e7f9946cbd81d77","","795.615424 以太币","0.00066259%","6"
"0xeb4d872069a0f97e631df36dc58d8274038c0bc5","","795.54036386 以太币","0.00066252%","19"
