Address,Name Tag,Balance,Percentage,Txn Count
"0x69255dc6fb8d09bf7b02f449f443a6c3c325bd0e","","4,036.75629 以太币","0.00336179%","2"
"0xf095012d7673940d2c36ba8a4b16cebf1cd64c07","","4,035.75654583 以太币","0.00336096%","1"
"0x11f953e16ba89b2a0c3be70cd4ab3f3fd10f247b","","4,032.750651 以太币","0.00335846%","33"
"0x5a76d75d0528c6b8beef55a0dcc33dc49f584a7f","","4,031.58986649 以太币","0.00335749%","11"
"0x2dc806cfb585b7d1cb6d903525ecd146c8cb37be","","4,030.41459798 以太币","0.00335651%","42"
"0xa289565e707802923efbaa554148c3ee78568e07","","4,023.76223245 以太币","0.00335097%","4"
"0x8f717ec1552f4c440084fba1154a81dc003ebdc0","","4,020.17347038 以太币","0.00334798%","33"
"0x556ecbb0311d350491ba0ec7e019c354d7723ce0","API3: Secondary Treasury Agent","4,018.55711879 以太币","0.00334664%","8"
"0xd505fce5cd73172f748a14fa7113696418362e97","","4,018.2034926 以太币","0.00334634%","990"
"0x1ce4c630b595b37388c3582d16e3a59d752985f2","","4,009.99375491 以太币","0.00333951%","9"
"0xe2b355672a7189b97b07d504e19ff9a194476a2b","","4,008.76328 以太币","0.00333848%","3"
"0xaaa50426a52622ed1ccca452c21b716ed0d1d636","","4,004.1109611 以太币","0.00333461%","10"
"0x78fd5af442b5a593795f1fd0799923703e519ee4","","4,003 以太币","0.00333368%","9"
"0x9572473270ce8533b47e47f23b5d08a253873374","","4,002.48649912 以太币","0.00333325%","3"
"0xf21e07d55a75fa7e5ac2074483ac43608f28572e","","4,002.40449046 以太币","0.00333319%","11"
"0xe6d791d815b74162fdd0b09ce58f0de9a7bb8ab3","","4,001.99553886 以太币","0.00333285%","7"
"0x79123f3b93498c6af24d0ed8245ab6d70bb0f58b","","4,001.04399422 以太币","0.00333205%","26"
"0xa6ccc563789f63352dd9465f0cc42d109f3dccdb","","4,000.99832 以太币","0.00333202%","6"
"0x0f08fd3f92ab62afcc372ea57eeef609b7114213","","4,000.9979 以太币","0.00333201%","5"
"0x6880b9ee0744cdd79af20d6de06c67d4d937ad91","","4,000.97574 以太币","0.00333200%","3"
"0xffbbf066a09c29899e0c7661cf48480881ce94a9","","4,000.96094946 以太币","0.00333198%","33"
"0xe4f565dccce450e1d81f807f024ee25f53abfe7a","","4,000.86602242 以太币","0.00333191%","4"
"0xdb04cba20b9f758260c929f6a4e22da89bce5500","","4,000.5870144 以太币","0.00333167%","15"
"0x9282d03c8cf0ca53302167b5b97f0296d0b0d773","","4,000.53908145 以太币","0.00333163%","42"
"0x9eeca5608b93ac6891d53c8439dad3ec149857be","","4,000.45138631 以太币","0.00333156%","45"
"0xc936b6f8c072543052f082899f592910762c7aa4","","4,000.3 以太币","0.00333143%","11"
"0x00f345f3766dd1498dc6970017db25adbf2d9ac1","","4,000.29916 以太币","0.00333143%","7"
"0xd9549c336b3c9e6782fe5c215cc3633607245b73","","4,000.293868 以太币","0.00333143%","6"
"0xb2394798d770f6b91f525f801687745497102e5e","","4,000.26459908 以太币","0.00333140%","22"
"0x8c38e49c1becae6ee010a9eef7453fd5937dd839","","4,000.08779603 以太币","0.00333126%","3,885"
"0x31ea2158cc3117ade4e1a685919d083ad7df5d59","","4,000.067874 以太币","0.00333124%","2"
"0xba4dd1b9d7f13407a61524de0f9589aabab22b37","","4,000.0095399 以太币","0.00333119%","11"
"0xfbd3e14bb4034b0544b64dfbd7499951b71ef660","","4,000.00764611 以太币","0.00333119%","3"
"0xc56c476889e2d04a7277f059ce1ca4b4e4031908","","4,000.00662845 以太币","0.00333119%","3"
"0x6c01a26e6ea6f522c329cb8cd3f33a0c0bac52dc","","4,000.001 以太币","0.00333118%","2"
"0x704ab1150d5e10f5e3499508f0bf70650f028d4b","","4,000 以太币","0.00333118%","2"
"0x9edc90f4be210865214ab5b35e5a8dd77415279d","","4,000 以太币","0.00333118%","2"
"0xd283fa3bd85887725c8982f539cc404a450f7fd9","","4,000 以太币","0.00333118%","5"
