Address,Name Tag,Balance,Percentage,Txn Count
"0xc71a3d3a5a1ecc158384b59ad5e971d2c0a9dbcd","","16,200 以太币","0.01349129%","1"
"0x3846aed50a2ed5959a4ea897c32c97fc70881561","","16,200 以太币","0.01349129%","1"
"0xcc2c15a7fec4958c71a5555807dff588d8517dd8","","16,199.996 以太币","0.01349129%","3"
"0x9cc64aabaa3d3859742c7cb22b0ce4b9e4e77875","","16,193.22284191 以太币","0.01348565%","2"
"0xc12386613bcbf62be78ee80077a721e8cba3bc12","","16,161.35360642 以太币","0.01345911%","1"
"0x02ee13ffd5cf5e6731d4ceab28394074bb185f61","","16,160.8244466 以太币","0.01345867%","4"
"0x688dd446b595d5702e9dcb545c89261b1c0c7cc7","","16,153.00778198 以太币","0.01345216%","1"
"0x33380c6fff5acd2651309629db9a71bf3f20c5ba","","16,100.001 以太币","0.01340802%","3"
"0x3ddedbe48923fbf9e536bf9ffb0747c9cdd39eef","","16,100.001 以太币","0.01340802%","3"
"0x30511832918d8034a7bee72ef2bfee440ecbbcf6","","16,100 以太币","0.01340802%","2"
"0x25e50cab2185963446dfbe85cbbbdce47083bcfb","","16,094.53257373 以太币","0.01340346%","1"
"0x6d1338ae291fa7cbbf74f1b18815005b5d060e0c","","16,093.78784328 以太币","0.01340284%","1"
"0x3744da57184575064838bbc87a0fc791f5e39ea2","","16,093.06246234 以太币","0.01340224%","233"
"0x367c42a6f261ec54ffbecf5f41c226be12a3dca0","","16,073.066 以太币","0.01338558%","17,494"
"0x3ab6a1687c1205cd9da74f079c84deb3369a6124","","16,055.177559 以太币","0.01337069%","2"
"0x7879a9a2e67becd33ea97c8597ca249bbee54fac","","16,048.36764612 以太币","0.01336502%","1"
"0x50cde33eb1dbd3624529f2968e4443dd8fbc1811","","16,047.21837973 以太币","0.01336406%","2"
"0xf5b4386394cb52999d43517bf89acb4fe902fa09","","16,046.79119835 以太币","0.01336370%","1"
"0x8d12a197cb00d4747a1fe03395095ce2a5cc6819","EtherDelta 2","16,040.50821312 以太币","0.01335847%","11,547,207"
"0xfb52f9b1ea8e27e19a50cb85dbfa16e28961363d","","16,031.18343288 以太币","0.01335070%","53"
"0x075b440d4d92aaf2b66f1365b81a508ecd25a40d","","16,029.61202328 以太币","0.01334940%","3"
"0xda50ba5e12c01bbef277bb7261c61c5f56a77c26","","16,023.814159 以太币","0.01334457%","2"
"0x065ca01cbe3a4c16d291cad834f644344c24cf4e","","16,000.63373754 以太币","0.01332526%","38"
"0xde9363fa15552ddb89d5d34376c36c0fcf914d35","","16,000 以太币","0.01332474%","2"
"0x0b7bb342f01bc9888e6a9af4a887cbf4c2dd2caf","","16,000 以太币","0.01332474%","2"
"0x971c785796fedb5aa2bae0395d055efdb8a38058","","15,999.994 以太币","0.01332473%","3"
"0x4b95059fe81b1268648c52976c034b9be117d4d7","","15,999.894132 以太币","0.01332465%","4"
"0x93a654a2813f3ad052929752124b51d68bb9fa8f","","15,947.38509904 以太币","0.01328092%","1"
"0xdeb294797d166d580675dc5aaef1a25378ccb626","","15,929.90830543 以太币","0.01326636%","1"
"0xd404316d5bb0641853edaae62a92ccb6f2d820bc","","15,928.67987537 以太币","0.01326534%","1"
"0xeb3b9f824c8551a58a427aeaaa1044866bb5e28e","","15,924.11695912 以太币","0.01326154%","181"
"0x8936424b558a95fbdec5938b1dd95a11e40a4532","","15,898.06288024 以太币","0.01323984%","3"
"0x24a52ece417147f1a7ad7f11ad572900ab8047b6","","15,896.88328431 以太币","0.01323886%","5"
"0x36eed1a4dd70f0731dd20ef76c32345185a8a042","","15,810.2096069 以太币","0.01316668%","72"
"0xf9ad8f6cde350a9731ef7c77fc588ce88def56db","","15,798.11470399 以太币","0.01315661%","1"
"0x9c7e1966808a95a3bda73619f76c35fabc46fe6d","","15,795.22851346 以太币","0.01315420%","3"
"0x500140ce79ef3b75fc2dbd9690aa32e9da4296d6","","15,790.16452846 以太币","0.01314999%","1"
"0x1271892c3724cff1416dc14c2b4e27a368cffeb4","","15,783.91569826 以太币","0.01314478%","3"
"0xa318690a8fe1a02e6fa568ce84125c9d82823b05","","15,775.07948 以太币","0.01313742%","18"
"0x3e3586b5be868daa72dbec2ebd0d3340466253bb","","15,734.948803 以太币","0.01310400%","7"
"0xef414ba7709e6cf9bbc93ba4fcb9a53f372bf54c","","15,733.216672 以太币","0.01310256%","18"
"0xc7a7fd11c1575d5a965e4ebe670481d8b58f27c0","","15,695.94074734 以太币","0.01307152%","1"
"0x4d22e4f9f2bc8a0697279ce83dd1d23f1136b707","","15,694 以太币","0.01306990%","1"
"0x3f08f17973ab4124c73200135e2b675ab2d263d9","","15,665.03858907 以太币","0.01304578%","3,172"
"0x600109d669ecc3110a83f72086ca188fde39795f","","15,649.55422696 以太币","0.01303289%","1"
"0x278ad2617a315a184dec06b7d57d9fa84034cadb","","15,611.99092589 以太币","0.01300160%","3"
"0xf820502be44549169a4bc136afafd714d1d25708","","15,602.41915702 以太币","0.01299363%","2"
"0xcc87ff23c187a9b320d52d284c7a105f781e4b57","","15,591.61974061 以太币","0.01298464%","1"
"0x27fd43babfbe83a81d14665b1a6fb8030a60c9b4","","15,557.3331581 以太币","0.01295608%","23,886"
"0x220c575a00a9f62b6aae2ea2a484971c5fa3cdb0","","15,523.14700094 以太币","0.01292761%","2"
"0x124a443d6a09c1cf5a5238af6a49e2d03a7d5dad","","15,500 以太币","0.01290834%","1"
"0xfe7c9c176d4d3ee940af666091a08322329d72fa","","15,465.386759 以太币","0.01287951%","2"
"0xb9786dc15b3e2e4994328834c801266479900328","","15,405.29853466 以太币","0.01282947%","1"
"0x7047e704228cef3cff0295ca09da1b5bab3d7402","","15,403.86452274 以太币","0.01282828%","1"
"0x80505508d1fc8e8c1a12a964c4cd206058d04e5c","","15,402.05475643 以太币","0.01282677%","2"
"0x695483e6f68a939fedda945499c9e3ee557c1c3a","","15,390.98640465 以太币","0.01281755%","1"
"0x7c367fb44b37f4b83ff41f6a0e5e459d59aae415","","15,287.26947622 以太币","0.01273118%","1"
"0x73dbc575e811a5fac67582d9be6ede1cd78741e9","","15,243.12380459 以太币","0.01269441%","520"
"0x6a9a05415f78eef19de272e0677f42c954ddecb4","","15,229.55025015 以太币","0.01268311%","1"
"0xf38356f7c5e47926c0417bf2763b5c44a00336b7","","15,179.60050376 以太币","0.01264151%","3"
"0xd24400ae8bfebb18ca49be86258a3c749cf46853","Gemini","15,105.6413393 以太币","0.01257992%","4,392,824"
"0xeb3d5ddcdf38b898879c8a76a2e8cc3fd12a52dd","","15,098.29075478 以太币","0.01257380%","1"
"0xf476a4c7ae500414c3909cedf56ed63104902176","","15,001 以太币","0.01249277%","2"
"0xaa499f3416f92424ce0dbfc4123b62a5481627bc","","15,001 以太币","0.01249277%","2"
"0xa19964d5f49488eb6cb4a5381826f3da58c281b1","","15,000.1 以太币","0.01249202%","12"
"0xaec27ce2133e82d052520afb5c576d9f7eb93ed2","","15,000.08028635 以太币","0.01249201%","104"
"0xd11fd269ac6b602e42abb6f0f186cd5b27180ffd","","15,000.0050527 以太币","0.01249194%","21"
"0x11133bcf0ecbe48e74a4d787bb047aa5bc2c5cab","","15,000.0048427 以太币","0.01249194%","21"
"0x99072e1422377d808d5599a78aa7e772b988c0fb","","15,000.0048427 以太币","0.01249194%","18"
"0x44b53564b95530a0bc708900089e685eef12fa6e","","15,000.004839 以太币","0.01249194%","25"
"0xc0c847b14965df7e7eaa003ea987c6187211d85f","","15,000.004619 以太币","0.01249194%","21"
"0x52da49c343df2d1880ec79df9c89a962afc8691d","","15,000.00441037 以太币","0.01249194%","18"
"0xa60c073eaa1bdc3f56af8a9292b9a1e6d3c7e5b7","","15,000.0003234 以太币","0.01249194%","6"
"0xb1e52e319b83dd3bedbae9878b63f67b535de2be","","15,000.0003 以太币","0.01249194%","7"
"0x35c9bbd1e0ddeadca4118a2378e9b0d1959b79f1","","15,000.0003 以太币","0.01249194%","8"
"0x85d2ca2f020673712e4d3f641f33f6c09cd9d983","","14,998.99790165 以太币","0.01249110%","1"
"0x8e2737d41082a03fd733e937497754512ad25fd0","","14,983.99859624 以太币","0.01247861%","12"
"0x41f546d659dee7a37186ffc86bc918e8dd1d3c51","","14,944.834659 以太币","0.01244600%","2"
"0x5d8a8f2d93948b11009bd81828a1452079983a4c","","14,941.77151639 以太币","0.01244345%","3"
"0x7f74aafd223f2462e52de66f36e98498fd141c6e","","14,940.49394465 以太币","0.01244238%","1"
"0x58bae5c59f73f764148b127873a211eae1111a1b","","14,900.004 以太币","0.01240866%","2"
"0xff8a34f749b97e19f9821615731be346e65aedd3","","14,765.9549987 以太币","0.01229703%","1"
"0xb985e3660a2808377e72d514e43fbdda1e689083","","14,726.75262572 以太币","0.01226438%","30"
"0xb9711550ec6dc977f26b73809a2d6791c0f0e9c8","","14,723.55297977 以太币","0.01226172%","1,286"
"0x46340b20830761efd32832a74d7169b29feb9758","Crypto.com 2","14,696.15152734 以太币","0.01223890%","10,885,277"
"0xadec0cdc6adabe44f461b48358d4a8d3a7d62a95","","14,657.23 以太币","0.01220648%","48"
"0x4fa0d17790939c67f8e8e31146cdc0d9f031f955","","14,656.6685045 以太币","0.01220601%","14"
"0xcffad3200574698b78f32232aa9d63eabd290703","Crypto.com 5","14,634.87026564 以太币","0.01218786%","984,411"
"0x258ede9f27da4922efd8543d6c49a6fa98ab842f","","14,582.34087274 以太币","0.01214411%","1,335"
"0x75fbd58ba18c80955bbb4c9fd46b83dc6bb68980","","14,551 以太币","0.01211801%","19"
"0x32fac51beffb058486ecff26ea6be364efb68aac","","14,500.00595696 以太币","0.01207555%","4"
"0xbd02c51150a4ab6ce97b9de2025644594f3e75b8","","14,473.5853321 以太币","0.01205354%","10,999"
"0x3ac33007a231851aadce52291fd4858e11a10ca3","","14,455.972 以太币","0.01203888%","8"
"0xe8e8f41ed29e46f34e206d7d2a7d6f735a3ff2cb","","14,452.95028243 以太币","0.01203636%","729"
"0xb5761aa4d4f88eeab67a90955a15017181975565","","14,400 以太币","0.01199226%","1"
"0x7d0523795e35c67b14b5edce151266a5c0ff2d65","","14,400 以太币","0.01199226%","1"
"0x3d458cb4144dab393ad1d9f90a94bc00cd49dea3","","14,399.996 以太币","0.01199226%","3"
"0x99f85310da212afb643c934f37ed512e66bf6de5","","14,312.92540904 以太币","0.01191975%","1"
"0xc2b6aabfec71ff4a578b873eb2718a31bc4c4212","","14,300 以太币","0.01190898%","1"
"0xe355f1d3bac35fca6789570dfea7648ac6a403d5","","14,300 以太币","0.01190898%","1"
