Address,Name Tag,Balance,Percentage,Txn Count
"0x2d6f9c22def9c540f26e362509560c657b1ee234","","782.73191824 以太币","0.00065186%","4"
"0x7dc3b586d4f3df925a707cd4ffa7c8f4c74c7498","","782.65048945 以太币","0.00065179%","63"
"0x62b8aae546dc9a3bc16d9717a282f933439841f4","","782.61819818 以太币","0.00065176%","23"
"0x2ab018a5de0e3b03d0c3d8abfe89c13cc1ee91af","","781.64804909 以太币","0.00065095%","18"
"0x6465b0e92acfab72fcc7cfd24eef960f624f47b6","","781.5627203 以太币","0.00065088%","353"
"0xb940352332a6aa87ffc3ef78609a5142684d7d88","","781.5531543 以太币","0.00065087%","10"
"0x1c653c0bcb22873d310d27bcc72e2367ef73807a","","781.5361543 以太币","0.00065086%","1"
"0x2e209188f763679d6e33cd6afbd71765e6f16b83","","780.90146355 以太币","0.00065033%","24"
"0xfbff8fa42fa5282e0163730980786fe13445d14e","","780.61405486 以太币","0.00065009%","159"
"0x698e7240a4d5502ac5905877ded5acba94d909ab","","780.6098808 以太币","0.00065009%","31"
"0xc417ad2e3f04440b5e4f8a7816145a57b1463401","","780.21020548 以太币","0.00064976%","24"
"0x157d5edc559211de7c6e35fdc4e971140fc34d5f","","780.08166387 以太币","0.00064965%","13"
"0x8c3db28e18d586db93bfe547cef0fc5a72efcb66","","779.99878645 以太币","0.00064958%","6"
"0x76b04df348abb5c765892679f066339faf8220bf","","779.9938029 以太币","0.00064958%","11"
"0x63b08c7fa733e4b5106b5a22ec915b61e305d71d","","779.79549621 以太币","0.00064941%","0"
"0xae6ef085c539ef81728d496ebcbd45e53b574deb","","779.38302829 以太币","0.00064907%","4"
"0x7693f7100a671d0cbfca63bd766fd698c17d6f04","","779.08924468 以太币","0.00064882%","8"
"0xfcd696a85b7db42b2fedbf66169286aa22385afa","","778.9306669 以太币","0.00064869%","2"
"0x1f2736e06a6de12a04c9aca866fcf76a3768bfec","","778.90476483 以太币","0.00064867%","3"
"0xe97cd3cd8fb88a93959dec57f4ac7a813b84db61","","778.6779434 以太币","0.00064848%","4"
"0xd5524179cb7ae012f5b642c1d6d700bbaa76b96b","Augur: Delegator","778.06753063 以太币","0.00064797%","4,771"
"0x36a64f0eb4259f0c80567b4a6932759efafbbffb","","778.01639125 以太币","0.00064793%","69"
"0xf7b29b82195c882dab7897c2ae95e77710f57875","","777.993994 以太币","0.00064791%","3"
"0x5b7d44dfe895af89ef0d7b8f4ed4c676b8dbbf3e","","777.88835451 以太币","0.00064782%","3"
"0xe60837042a59c496ab6f020c64dc415e1489e04b","","777.83617022 以太币","0.00064778%","3"
"0xe174119db37832eecef22817d983481458e49096","","777.49990901 以太币","0.00064750%","5,733"
"0xe0a33e88486e09a31c1452b47a257a1482794296","","777.43958766 以太币","0.00064745%","49"
"0x0731140f2ae8ade4e694dc2c0643dbb7616bb240","","777.02602962 以太币","0.00064710%","4"
"0x081c1e0b8aa6f4b2df0f3a96637f64895562a2a6","","776.99514378 以太币","0.00064708%","7"
"0x39cdd3878aba8b581577810083e3a86e32d0bded","","776.86168409 以太币","0.00064697%","11"
"0x04d6c8d0ce010563211c1a98605428b5e979681e","","776.56339937 以太币","0.00064672%","51"
"0x5546174c0fde2dc85e4fd5d4e6e9c5af8d9569c3","","776.31691842 以太币","0.00064651%","101"
"0xbad8502fd306748650b0f2c4ca098bd409ee3570","","776.28022886 以太币","0.00064648%","10"
"0x5a5ee8e9bb0e8ab2fecb4b33d29478be50bbd44b","","776 以太币","0.00064625%","1"
"0x65dbc0986dd1aa72f4969888fbed013b50f27fba","","775.998866 以太币","0.00064625%","2"
"0x29b14410b21eb661fdf47429226f0e180a280d6a","","775.994918 以太币","0.00064625%","1"
"0xbea1227932f34f02c54cf511a437d286763e4208","","775.48280892 以太币","0.00064582%","180"
"0xfdf19631425e15908e570a5595df19deaf8d6bb9","","775.10863091 以太币","0.00064551%","53"
"0x37d0ae8cc8428eeb6fa41555f4bab6f060a708b1","","775.02689551 以太币","0.00064544%","14"
"0x06ac26ad92cb859bd5905ddce4266aa0ec50a9c5","","775 以太币","0.00064542%","1"
"0x3933115792498cccf2b604121a49ae9f4b630460","","774.88490345 以太币","0.00064532%","14"
"0xa397d02928acaaf6553fd7e832413c5a732cf559","","774.75900357 以太币","0.00064522%","506"
"0x249956377451ed13448d178253707223974bc112","","774.5997865 以太币","0.00064508%","38"
"0x9099fb18b043c799d17c6534fc7ae9692ab626a4","","774.562247 以太币","0.00064505%","8"
"0xebe726dc5f1da736bc22adec5c66069abbc5975d","","774.50026597 以太币","0.00064500%","7"
"0x033204ac8c0cf31904e469caf2c8e5a8ef294300","","774.08196113 以太币","0.00064465%","14"
"0xf0468a0ea66d8a47ab84f418a30e9e56143f00fa","","773.74721177 以太币","0.00064437%","22"
"0xaf1d8b215a366e931589eee32f2a89dcc9b5b138","","773.72587212 以太币","0.00064436%","4,370"
"0x05b4018d053bad4b4bee809772e7bcea93846084","","773.5 以太币","0.00064417%","1"
"0x0d9fa1286072a9b0f35fbd9f0858f24ebf8e5153","","773.27605983 以太币","0.00064398%","8"
"0x95d5a76ca0fe080899e83894433c0d45070663e6","","773.25984962 以太币","0.00064397%","3"
"0xc01af8b82c0152771763b0e67cd134f4df6b9c06","","773.23539932 以太币","0.00064395%","17"
"0xbd8d68c1f4708ef14fe839082239779eacd659e2","","773.14692358 以太币","0.00064387%","12"
