Address,Name Tag,Balance,Percentage,Txn Count
"0x00000000219ab540356cbb839cbe05303d7705fa","Beacon Deposit Contract","41,543,642.37696063 以太币","34.59737768%","470,809"
"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Wrapped Ether","3,019,350.37267115 以太币","2.51450280%","16,464,112"
"0xbe0eb53f46cd790cd13851d5eff43d12404d33e8","Binance 7","1,996,008.38522975 以太币","1.66226773%","1,581"
"0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a","Arbitrum: Bridge","1,612,022.67272659 以太币","1.34248597%","37"
"0x40b38765696e3d5d8d9d834d8aad4bb6e418e489","Robinhood","1,429,194.78619651 以太币","1.19022765%","108"
"0xda9dfa130df4de4673b89022ee50ff26f6ea73cf","Kraken 13","1,398,923.56460808 以太币","1.16501790%","494"
"0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503","Binance: Binance-Peg Tokens","584,999.03963144 以太币","0.48718484%","84"
"0xf977814e90da44bfa03b6295a0616a897441acec","Binance 8","503,265.29431163 以太币","0.41911731%","14,320"
"0xe92d1a43df510f82c66382592a047d288f85226f","Bitfinex 19","450,118.32741318 以太币","0.37485673%","467"
"0xbeb5fc579115071764c7423a4f12edde41f106ed","","385,457.18855432 以太币","0.32100719%","13,632"
"0xafcd96e580138cfa2332c632e66308eacd45c5da","","377,707.41802413 以太币","0.31455321%","214"
"0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea","Gemini 3","369,498.96536194 以太币","0.30771725%","769"
"0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4","","359,671.36821483 以太币","0.29953286%","1,720"
"0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c","Bitfinex: MultiSig 3","328,053.76046368 以太币","0.27320185%","124"
"0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca","","325,000.48226586 以太币","0.27065909%","90"
"0x28c6c06298d514db089934071355e5743bf21d60","Binance 14","314,425.48437654 以太币","0.26185227%","18,864,550"
"0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae","EthDev","310,273.75978318 以太币","0.25839473%","2,498"
"0x3bfc20f0b9afcace800d73d2191166ff16540258","Polkadot: MultiSig","306,276.63547139 以太币","0.25506595%","519"
"0x8103683202aa8da10536036edef04cdd865c225e","Bitfinex 20","275,000.03347903 以太币","0.22901892%","52"
"0x0a4c79ce84202b03e95b7a692e5d728d83c44c76","","254,248.45402547 以太币","0.21173709%","49"
"0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9","Rain Lohmus","250,000.02291606 以太币","0.20819901%","67"
"0x539c92186f7c6cc4cbf443f26ef84c595babbca1","","250,000.00963009 以太币","0.20819900%","17"
"0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f","","250,000.00193363 以太币","0.20819899%","22"
"0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f","","250,000.00152182 以太币","0.20819899%","25"
"0x1b3cb81e51011b549d78bf720b0d924ac763a7c2","","243,300.00349655 以太币","0.20261926%","204"
"0x220866b1a2219f40e72f5c628b65d54268ca3a9d","Vb 3","243,000.02237293 以太币","0.20236944%","148"
"0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f","Liquity: Active Pool","240,254.41862345 以太币","0.20008291%","61"
"0x8696e84ab5e78983f2456bcb5c199eea9648c8c2","","238,501.25733059 以太币","0.19862288%","206"
"0x49048044d57e1c92a77f79988d21fa8faf74e97e","Base: Base Portal","199,290.62746034 以太币","0.16596843%","735,359"
"0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0","Kraken 4","195,970.57274764 以太币","0.16320350%","3,809,099"
"0xf3b0073e3a7f747c7a38b36b805247b222c302a3","Crypto.com 6","190,480.54376921 以太币","0.15863143%","193,126"
"0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28","","187,068.1958232 以太币","0.15578964%","40"
"0x9e927c02c9eadae63f5efb0dd818943c7262fb8e","","177,527.16935977 以太币","0.14784391%","340"
"0x8484ef722627bf18ca5ae6bcf031c23e6e922b30","Polygon (Matic): Ether Bridge","172,577.96555389 以太币","0.14372223%","74"
"0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4","","169,032.00330703 以太币","0.14076917%","58"
"0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9","Golem: Multisig","162,034.34311324 以太币","0.13494155%","527"
"0x32400084c286cf3e17e7b677ea9583e60a000324","zkSync Era: Diamond Proxy","161,686.7441193 以太币","0.13465207%","3,076,177"
"0xe25a329d385f77df5d4ed56265babe2b99a5436e","Paxos: Treasury","161,363.5959381 以太币","0.13438295%","38,499"
"0x15c22df3e71e7380012668fb837c537d0f8b38a1","","160,321.50297159 以太币","0.13351510%","35"
"0x0e58e8993100f1cbe45376c410f97f4893d9bfcd","","157,236.1633068 以太币","0.13094564%","6,504"
"0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10","","155,701.97223691 以太币","0.12966797%","15"
"0x742d35cc6634c0532925a3b844bc454e4438f44e","Bitfinex 2","155,220.9071656 以太币","0.12926734%","19,877"
"0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4","","153,346.76554836 以太币","0.12770657%","132,481"
"0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d","","152,550.01176408 以太币","0.12704303%","56"
"0xfd898a0f677e97a9031654fc79a27cb5e31da34a","","150,000.10028294 以太币","0.12491948%","39"
"0xb8cda067fabedd1bb6c11c626862d7255a2414fe","","150,000.0014217 以太币","0.12491940%","13"
"0x701c484bfb40ac628afa487b6082f084b14af0bd","","150,000.00107635 以太币","0.12491940%","37"
"0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9","","150,000.00022033 以太币","0.12491939%","15"
"0xb20411c403687d1036e05c8a7310a0f218429503","","150,000.00015513 以太币","0.12491939%","11"
"0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f","","150,000.00009307 以太币","0.12491939%","43"
"0xba18ded5e0d604a86428282964ae0bb249ceb9d0","","150,000.00006261 以太币","0.12491939%","12"
"0xb9fa6e54025b4f0829d8e1b42e8b846914659632","","150,000.00000737 以太币","0.12491939%","10"
"0x8d95842b0bca501446683be598e12f1c616770c1","","143,012.05700499 以太币","0.11909986%","60"
"0x35aeed3aa9657abf8b847038bb591b51e1e4c69f","","141,871.70329884 以太币","0.11815018%","69"
"0xb93d8596ac840816bd366dc0561e8140afd0d1cb","","139,701.32929382 以太币","0.11634270%","65"
"0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6","","135,738.06136168 以太币","0.11304211%","100"
"0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6","","135,283.67700786 以太币","0.11266370%","287"
"0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9","","135,188.02618524 以太币","0.11258404%","65"
"0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1","","132,432.5378388 以太币","0.11028928%","58"
"0xd5268a476aadd1a6729df5b3e5e8f2c1004139af","","130,876.36103835 以太币","0.10899331%","61"
"0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b","","129,392.27133579 以太币","0.10775736%","54"
"0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62","","129,392.17137079 以太币","0.10775728%","51"
"0x595faf77e533a5cd30ab5859c9a0116de8bad8db","","129,392.17136579 以太币","0.10775728%","56"
