Address,Name Tag,Balance,Percentage,Txn Count
"0xa0e239b0abf4582366adaff486ee268c848c4409","","56,282.19449098 以太币","0.04687158%","39"
"0x04ed6d343c9c358687b772f1edb265482e33a8a8","","55,936.1981866 以太币","0.04658344%","6"
"0x2842eb68fcd748e92acb44d82a9e315fc7dc650d","","55,592.23618505 以太币","0.04629699%","2"
"0x05576087d1ad92873da0a3b76e7105195935b0f5","","55,230.01532989 以太币","0.04599533%","2"
"0x7c2a289c0523e748c286a37570d2efc16d2c934e","","55,000.553059 以太币","0.04580424%","4"
"0x795cbc7a670d06e56cd2197d4ca175e081a416ad","","54,096.99278137 以太币","0.04505176%","63"
"0xe3f53355cdbeaf2afafc4fc22be0a5c02570061a","","53,242.56373701 以太币","0.04434019%","1"
"0x91720f9e3cb457129b7ff4a0987a9ccfa3a66de0","","53,063.63 以太币","0.04419118%","3"
"0x46f80018211d5cbbc988e853a8683501fca4ee9b","","52,455.54741418 以太币","0.04368477%","3,024"
"0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419","Starknet: StarkGate ETH Bridge","52,429.58988028 以太币","0.04366315%","1,798,476"
"0x991a7ff3cb20d5b5d6d9be5efec4e4c51cddad7a","","52,170.12973866 以太币","0.04344707%","24"
"0x5770815b0c2a09a43c9e5aecb7e2f3886075b605","SwissBorg","51,589.07250026 以太币","0.04296317%","78,355"
"0x7df24e36497dc9f6edea0a024a595a930049ee47","","51,409.70938088 以太币","0.04281380%","17"
"0x1b8766d041567eed306940c587e21c06ab968663","Bitfinex 14","51,377.30143861 以太币","0.04278681%","23"
"0xd49a1525b46f9149ff665807c925bd83b5a6d7e3","","51,111.95757564 以太币","0.04256583%","32"
"0xe3ecd65cf2ad2eba2aa2be1d0894753b2172abd1","","51,025.00537042 以太币","0.04249342%","357"
"0xceffc7330317f72957c662d072a5e7d63b9b578c","","50,399.93895 以太币","0.04197287%","8"
"0x50cb0508434b4c68a2c4fde30b02b269d2d5b6bd","","50,005.98478689 以太币","0.04164478%","8"
"0x50bd66bfddf48b8914602bf51c93756731ec51ae","","50,001.00561846 以太币","0.04164064%","7"
"0x5a03703125380cfda804446fdaa3b4064cb6cc0a","","50,000.89 以太币","0.04164054%","3"
"0x6220d7a458a68d6a554e5904792049fd2ef6bbcc","","50,000.419059 以太币","0.04164015%","5"
"0x07f1d450b16e53302931c5362ee0ab41f2978541","","50,000.150118 以太币","0.04163992%","4"
"0x98ec059dc3adfbdd63429454aeb0c990fba4a128","OKX 6","50,000.10856897 以太币","0.04163989%","67"
"0xc97b6e3e4301617f617b23120f31303e8ccee606","","50,000.015559 以太币","0.04163981%","3"
"0x565b8fbf9336bec8fbfb4f78fbf30d7f70d6973b","","50,000.012559 以太币","0.04163981%","3"
"0xe780a56306ba1e6bb331952c22539b858af9f77d","","50,000.00000453 以太币","0.04163980%","3"
"0x6b378be3c9642ccf25b1a27facb8ace24ac34a12","Deribit 5","49,999.99958 以太币","0.04163980%","11"
"0xa18eb0ed2543be132ef5aa3c8a87a0f5b2e30fca","","49,996.54870979 以太币","0.04163692%","6"
"0x1e747fb111ba949af397b15cbceb424d3f19d8a6","","49,371.02111049 以太币","0.04111599%","3"
"0x3d9256ad37128e9f47b34a82e06e981719477c18","","49,329.36974508 以太币","0.04108130%","3,380"
"0xc3ecba28af450e2ed469164766751130d93ecc36","","49,151.2634424 以太币","0.04093297%","19"
"0x367d1057813de939cf8eefd0c2a560e53082a326","","48,979.97530772 以太币","0.04079033%","131"
"0x7442041898dc3f8ed76fa4e00a762064c87991c8","","48,746.20441494 以太币","0.04059564%","4"
"0x0c501d43206b97fa4300f1b0962742b4f938f70e","","48,717.29689586 以太币","0.04057157%","525"
"0x7a95f1554ea2e36ed297b70e70c8b45a33b53095","","48,374.30515566 以太币","0.04028593%","24"
"0xee5b5b923ffce93a870b3104b7ca09c3db80047a","","47,341.48694692 以太币","0.03942580%","2,242"
"0x2eb08efb9e10d9f56e46938f28c13ecb33f67b15","","47,070.84387836 以太币","0.03920041%","49"
"0x8c1fe06904a6e642b1e8c66b3ee7fac83cc46873","","46,150.83019183 以太币","0.03843423%","11"
"0xec5feafe210c12bfc9a5d05925a123f1e73fbef8","","45,576.10247136 以太币","0.03795559%","56"
"0xf9a345948c9f31b225686ab8911140b0e2bcdca8","","45,558.05891678 以太币","0.03794057%","26"
"0x7f3a1e45f67e92c880e573b43379d71ee089db54","","45,497.57988067 以太币","0.03789020%","233"
"0x39ed68f2087dca23f76792eca8f39508e74d82e5","","45,183.42240662 以太币","0.03762857%","2,759"
"0x7713974908be4bed47172370115e8b1219f4a5f0","","44,976.54733145 以太币","0.03745629%","60"
"0x3b9de915fce667b90f919075c4d10067b15192a9","","44,932.26475008 以太币","0.03741941%","1"
"0x70773129aca50d298631283e137473ab8ffc0177","","44,800.7606333 以太币","0.03730989%","1"
"0xc54cb22944f2be476e02decfcd7e3e7d3e15a8fb","","44,720.301845 以太币","0.03724289%","226"
"0x97e813b9a81d097e60a5e6311bc9a475199b67ae","","44,372.70057672 以太币","0.03695341%","264"
"0x42697cc8cb495aebd453d016950344867d51f27e","","44,199.90117489 以太币","0.03680950%","2"
"0xdf1fc5523f2e5ea4f6dac2eaed3263953a391b0c","","44,114.58177815 以太币","0.03673845%","220"
"0x1ac33f385a4e9fe2d809a81c5c10473f81ee0ed3","","43,786.31009354 以太币","0.03646506%","12"
"0x49be8a0773824e2917f4baccebbdf298e7cf27bd","","42,918.1814894 以太币","0.03574209%","15"
"0x90f9dff16f9efafeeb8b130dc5d3562ac5e76a96","","42,837.21096466 以太币","0.03567466%","3"
"0xe9405bd9845a488e4c5e5e6d972fea932e2e4a3c","","42,799.99625166 以太币","0.03564366%","20"
"0x093c06ab7ffe19bd3efc8a55548bdf4285505577","","41,435.75571734 以太币","0.03450753%","3"
"0x5696ae5ad2c22a4afc03bbae5bf18ca9278ae5c5","","41,234.43395 以太币","0.03433987%","6"
"0x4b068fe2cee007a48db70b28047470ded49d6aba","","41,040.33589786 以太币","0.03417823%","2,069"
