Address,Name Tag,Balance,Percentage,Txn Count
"0x91756e4e241c44fcef049d06ac41af6104fd411b","","683.68618484 以太币","0.00056937%","86"
"0x56922c7dbfb5781617d0624c3f4fea5e6a7d4d77","","683.65 以太币","0.00056934%","1"
"0x220a9f0dd581cbc58fcfb907de0454cbf3777f76","MCDEX: ETH Perpetual","683.62048187 以太币","0.00056932%","3,892"
"0x8ce660157d66d4eff006ab13a72d596ca4b285d5","","683.48513926 以太币","0.00056920%","7"
"0x9ad939674b3efd7546e12fd920fc9617e49cb12f","","683.36804304 以太币","0.00056911%","4"
"0xf37ed62a2ad3f585c13efdf4211f2110ca266edf","","683.18163701 以太币","0.00056895%","8"
"0x22c145522890aa3fdfae1df82b636a37b0946648","","683.14102191 以太币","0.00056892%","71"
"0xf9a2b2a167dfa545f590abae3e7ad69bbecfe5e5","","683.05526729 以太币","0.00056885%","4"
"0x1ceef34600c20b4700767d9e693705793b3c0d01","","683.0239223 以太币","0.00056882%","20"
"0x6fd1b154162b008e0e63a19b092eae4a4ce7a8c6","","682.90845743 以太币","0.00056872%","1"
"0xca02f4a68fba79da89bad5797e3d7bc6fa99538e","","682.06 以太币","0.00056802%","3"
"0xab89ff7d2ea4da2a543ae766a03986eecba8cb36","","682.00642126 以太币","0.00056797%","52"
"0x5c82a5ae4f9102eef2508f2dd57d849ba77f2fb0","","681.9990931 以太币","0.00056797%","4"
"0xc8690c0e0960994ac78f338f978bcd1dad1ca742","","681.9990435 以太币","0.00056797%","3"
"0x9f8d40dc19918e0eb1ad53d45e03f403aa20cb57","","681.9825194 以太币","0.00056795%","4"
"0x80087b543327fe96e28013ba6bdc652e2a74bec1","","681.9067137 以太币","0.00056789%","4"
"0x8859b727cb45162e5d5875eb934193360d317457","","681.82594095 以太币","0.00056782%","20"
"0xe135c7d22cee7b8d148d2866aec044c5df6ff6a3","","681.502058 以太币","0.00056755%","20"
"0xe367141211ec42112426d89bb1b6b1d71982b109","","681.386803 以太币","0.00056746%","1"
"0x47cd112df32590eb041984043782d430d1ff8936","","681 以太币","0.00056713%","6"
"0x0005f2c8396f363502438fb4dfb5142b7cb99f31","","680.96081398 以太币","0.00056710%","5"
"0x30fc79a36bb240f6e771f69dfebe990c9641dd49","","680.87018004 以太币","0.00056703%","13"
"0x2f992b291eb59474408b5f01766d12165e38a820","","680.77929407 以太币","0.00056695%","5"
"0xd1061ddc6d90ecde6e78eb28b89a492418885ebd","","680.71741945 以太币","0.00056690%","4"
"0xd6d0ce5135041ddc52e095f213b2b871df92b8fd","","680.67714205 以太币","0.00056687%","6"
"0x068529f96a059f2cb8e53c6c454b42627d21582c","","680.64919918 以太币","0.00056684%","299"
"0xbd6b94ec3bb283b90afb8cea1bf82029498df1fc","","680.39078062 以太币","0.00056663%","4"
"0x97d0b2153a75633c8f40b3de7e5ad230f32ca744","","680.28595532 以太币","0.00056654%","10"
"0x941dc2bf371c6e4b56d4b5e14246a09208335ce5","","680.1178901 以太币","0.00056640%","451"
"0xe49012443a5d84630c9d36ea15600024c427c3ac","","680.1 以太币","0.00056638%","2"
"0x6a43e9d2d3e5c44bbde38acc42aa6033567b7b7a","","680.1 以太币","0.00056638%","4"
"0xf1610fb31333c47da42652caeb301ddbedc1a85b","","680.02170075 以太币","0.00056632%","56"
"0x5914b3c55aac346cf96ff8b40b46d6d8815800cc","","679.99931324 以太币","0.00056630%","1"
"0xeacadb1a749a1b6253bbd7d41a1f9e4b4bf3792b","","679.999 以太币","0.00056630%","0"
"0x960dd9c6bce5d2e5a0bb045142670ec635346748","","679.88575651 以太币","0.00056621%","42"
"0xf4515b2242e66d00edeed76bc8bf7c7af0bcf59d","","679.59111878 以太币","0.00056596%","3"
"0x9dfd9ca2265e3a4eccb780a22550ee577debba85","","679.48981655 以太币","0.00056588%","4"
"0x22b157d1b3078ce4087f76c5452e50b08836d285","","679.41901044 以太币","0.00056582%","276"
"0x5d0e8b78c07a3aa2e461c5ee13b93c073d441c3a","","679.40141118 以太币","0.00056580%","4"
"0x3906349fa55cea235dd82473d8cedb6e7c3529f2","","679.36161182 以太币","0.00056577%","4"
"0x8146b442229392e18f4da2b640cbbd5f399e6c2b","","679.31569694 以太币","0.00056573%","4"
"0x4e37b69104badbc4f4ce9820fe96a9afd22e19a5","","678.98955035 以太币","0.00056546%","12"
"0x0606acd68bbf9ec70aac7d6e6f8a17478f48cd0d","","678.85669712 以太币","0.00056535%","4"
"0x0e602ff5502c3f2aa8e6109816da77290ead97a1","","678.5545838 以太币","0.00056510%","22"
"0x5fae7e604fc3e24fd43a72867cebac94c65b404a","","678.50770003 以太币","0.00056506%","745"
"0x44f4558d48422125b0a460c7d7d358ca49bc226b","","678.17315201 以太币","0.00056478%","20"
"0x48a7c7abdaaa46da13c2e44ecf3017c7a8f1f402","","678.15602671 以太币","0.00056477%","56"
"0xf4835af9f3ca93be9102c6ee633a6233c928aa0d","","678.01975499 以太币","0.00056465%","27"
"0xa5cc504faa21a2f196812fb882d260b7f9218696","","677.975286 以太币","0.00056462%","7"
"0x72ed5bf91efdfcda2956c11f89c4dfb685a0e20c","","677.76124408 以太币","0.00056444%","4"
"0x6dc5b5c5db0faa6e277b67bac5b907a2d5f93061","","677.64973129 以太币","0.00056434%","4"
"0x5fb585e3eb31941aba776a6ad412016f071358ae","","677.35654216 以太币","0.00056410%","4"
"0x42903bb15d59f219a2c0ad93808ae36fa1a4f4ec","","677.08381309 以太币","0.00056387%","10"
"0x6737779a083dbc769e61b085b74472b1055dc22b","","677.05949465 以太币","0.00056385%","12"
"0x8d846712470befdff9a0c0e72eed039f710b18d2","","677.02795481 以太币","0.00056383%","20"
"0x7814f6529317df421b10d3c1dc104fe1dfe42a80","","677.02123196 以太币","0.00056382%","3"
"0x01ef78fb93c6294b21e2b06c88f6d1b17b07bdb7","","677 以太币","0.00056380%","2"
"0x5b3d59d8c5d411ad1181e3ce64d4cf21e5e8c5cd","","676.80398101 以太币","0.00056364%","124"
"0x06a3299075085133e632ac1ca509f58c67054a3d","","676.8 以太币","0.00056364%","2"
"0x00163a214376cf27ba77aa6cd5040d54cdc9c6a5","","676.59871988 以太币","0.00056347%","55"
"0x344b2f76b6cc8e5a7407a8e2c65dc81be1497696","","676.39740283 以太币","0.00056330%","47"
"0x2b107f782fb36dcb7012e2eab3d136699159a249","","676.3436472 以太币","0.00056326%","4"
"0xb180e3edd409e0ff7397cd481cd7d550a9f8e543","","676.12 以太币","0.00056307%","2"
"0x5fd49424db040f11eec6265b782172136a83262a","","676.0533258 以太币","0.00056301%","51"
"0x292c625cf14708e4bd4bf7323cd782b0cb6e07e0","","675.86111465 以太币","0.00056285%","7"
"0x6de9604324d062e83410ddba8767dc25c4e37b1c","","675.78883324 以太币","0.00056279%","19"
"0x4c752f515a479e3a4054f7b8c35fe3b19ef81759","","675.78077185 以太币","0.00056279%","1,554"
"0xbd6d0da8ec36dceefdb4fac802224cf7a871e535","","675.55874437 以太币","0.00056260%","4"
"0xe45e1a42c9c9d94cd887159e5439ae7cad86f00b","","675.49433165 以太币","0.00056255%","10"
