Address,Name Tag,Balance,Percentage,Txn Count
"0x8b6298c77d513432d5f7b87bd3ee9cf5bf85e068","","1,780.759274 以太币","0.00148301%","1"
"0xce699847ec88ade5631fc1ba19069f798c954c14","","1,780 以太币","0.00148238%","14"
"0x1db3439a222c519ab44bb1144fc28167b4fa6ee6","Vb 2","1,779.6077796 以太币","0.00148205%","1,641"
"0x603ca09aa85443b2b540305a3fe4158a07259836","","1,779.381366 以太币","0.00148186%","561"
"0x183f7107fcc9428e9112a18655ff6bc12e8815a9","","1,779.18522443 以太币","0.00148170%","14"
"0xeaba60ca2400d1d9918a41783c18e3c4dc0579ae","","1,779.015 以太币","0.00148156%","1"
"0xa1c2778bd875155d371aa3db27348c40deaf7a9d","","1,779.00964649 以太币","0.00148155%","6"
"0x3039fd2ef2bdaaf81cbbd7943a15a5ce6c35dcae","","1,778.9731634 以太币","0.00148152%","19"
"0x9aa9387c7c1f746be1cb726d0188c06c9bab33a3","","1,778.57185021 以太币","0.00148119%","13"
"0x0dc42152cfe688521488ab0bcf32264427b3ffd5","","1,777.76677748 以太币","0.00148052%","10"
"0x457a3d82059cefc61bd4339018834925cdb9cd15","","1,777 以太币","0.00147988%","2"
"0xa86b2997bccab1fbbfcd749d1fc4ecd3e943a64d","","1,775.38561453 以太币","0.00147853%","7"
"0x07c4b0f6397835754a49ec0744519fc505a9d0b8","","1,774.91786467 以太币","0.00147814%","6"
"0x3d32e8b97ed5881324241cf03b2da5e2ebce5521","Liquity: Coll Surplus Pool","1,774.30182693 以太币","0.00147763%","3"
"0xe1148d0244a0872bc3139dfc504f49f6bed3b5d1","","1,773.3925603 以太币","0.00147687%","8"
"0xa5ef1bb0ffeb8af1f6852be2ac0cc0bf9d92df7e","","1,773.11051663 以太币","0.00147664%","11"
"0xeac099fa00abf8e8a1d14b2df42ebd9d4e962c07","","1,772.929811 以太币","0.00147649%","7"
"0x84fa0d0ce2a01587f5d52f8591ddd48c95b34e19","","1,772.926346 以太币","0.00147649%","6"
"0xddbf144f6ea1145ced38087994b0f59cc2912c88","","1,770.79422712 以太币","0.00147471%","4"
"0x976ecc7c22c4917f93f351d712365f42d06dd1be","","1,770.703 以太币","0.00147463%","25"
"0xf26d0d282989b046ebac7281db8d39b86c2dc5b1","","1,769.62615175 以太币","0.00147374%","44"
"0xc124f5946415d3e33cde95c3f57dd6dc8f6d04b1","","1,769.46124244 以太币","0.00147360%","30"
"0x1ad57f5ccb72867897ec73d960c2e69b4f3d7c66","","1,769.09147492 以太币","0.00147329%","14"
"0x756d64dc5edb56740fc617628dc832ddbcfd373c","","1,767.07781281 以太币","0.00147162%","1,251"
"0xd634bc2b572b6a15eff75e9230256b992185e403","","1,765.50521022 以太币","0.00147031%","1"
"0x435f3e9ad96571c9b06f51e410249617740b9743","","1,765.24878851 以太币","0.00147009%","1"
"0x9fcc46c2d4cc0189572f7883b2ee9ce8640aed6f","","1,764.32475608 以太币","0.00146932%","34"
"0xb3f7f51c19693df4a709c6d24295c29cf1f5de76","","1,763.98107863 以太币","0.00146904%","2"
"0x70b4c75333b15dc714f7e955a8391ae9a9afc11c","","1,762.60226836 以太币","0.00146789%","1"
"0x42e4c24ccc20f37d3476920ae1b15e363dae1a46","","1,761.87355806 以太币","0.00146728%","30"
"0x93a4f43c6215b7e3230e565ec18d55aa3c1cb00b","","1,761.40251118 以太币","0.00146689%","13"
"0xa30d8157911ef23c46c0eb71889efe6a648a41f7","BigONE","1,761.2941501 以太币","0.00146680%","117,670"
"0xd942921970a3af68012e8274e61f24fb8f550f46","","1,761.09890985 以太币","0.00146664%","4"
"0x1c87741f9e0ddbd3d041abbf28b61e65866ed48e","","1,760.9308683 以太币","0.00146650%","1"
"0x174ed45bdd356c55fcb5336e06f3df059873cb41","","1,760.30783972 以太币","0.00146598%","71"
"0x0428eefb47fb6ffb870c6b9608da4c72bc7645f5","","1,760.155 以太币","0.00146585%","3"
"0xac6d02e9a46b379fac4ac9b1d7b5d47bc850ce16","","1,760 以太币","0.00146572%","1"
"0xdcf6b657266e91a4dae6033ddac15332dd8d2b34","","1,760 以太币","0.00146572%","1"
"0x5940da7200a2c1484e0671c0db341fbca5df6fca","","1,758.68072698 以太币","0.00146462%","29"
"0x6ea432086806c35e3dcd903567bb879f47753f2d","","1,758.24127475 以太币","0.00146426%","32"
"0x950b1eb5d36e3d2578fc0c9dafae80f826829410","","1,758.00042543 以太币","0.00146406%","30"
"0x7b4cfd1b9560f43c03370c9aa33621219093edb5","","1,757.33012243 以太币","0.00146350%","7"
"0x95c2ad1de61b27c5f342b1fa36de823fac3c4ce1","","1,756.20859996 以太币","0.00146256%","153"
"0x5460761adec077028b563a466dac04f955fe1646","","1,755.91285647 以太币","0.00146232%","39"
"0x05a0fba69c0a5e157ed2ecf4097b879430bd2a68","","1,755.19643523 以太币","0.00146172%","10"
"0xd52055a39a3d2f7505c739f981f296ea31b50191","","1,754.42903975 以太币","0.00146108%","6,949"
"0x9b3247964c6ae9339f2a604158e6549f21b05c82","","1,754.037299 以太币","0.00146076%","6"
"0x6fbab4e4a0ec000b418c97ba05fbd559a3efc59c","","1,751.95944718 以太币","0.00145902%","10"
