Address,Name Tag,Balance,Percentage,Txn Count
"0xe3f8250bdc233d93875c15c25d725fd509192d60","","100,855.72714798 以太币","0.08399224%","150"
"0x67f706db3bbd04a250eed049386c5d09c4ee31f0","","100,784.24757148 以太币","0.08393271%","35"
"0x210b3cb99fa1de0a64085fa80e18c22fe4722a1b","","100,438.5741121 以太币","0.08364484%","24"
"0xd9858d573a26bca124282afa21ca4f4a06eff98a","","100,179.66778849 以太币","0.08342922%","5"
"0xbddf00563c9abd25b576017f08c46982012f12be","","100,176.9531566 以太币","0.08342696%","656"
"0x4fdd5eb2fb260149a3903859043e962ab89d8ed4","Bitfinex 5","100,116.88988392 以太币","0.08337694%","25"
"0xd8d98ee915a5a4f52c40d97fcd8ffadea1ee8604","","100,000.14577822 以太币","0.08327972%","8"
"0x2d89034424db22c9c555f14692a181b22b17e42c","","100,000.0000335 以太币","0.08327960%","6"
"0x40f50e8352d64af0ddda6ad6c94b5774884687c3","","100,000.00002 以太币","0.08327960%","3"
"0x36b6751586614d647d8a3f495e82bdcf250914c8","","98,770.4615612 以太币","0.08225564%","64"
"0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb","","98,770.46155551 以太币","0.08225564%","73"
"0xe93fc974908003faddf0bd972b05b6494368d3f5","","98,770.46152561 以太币","0.08225564%","66"
"0x303c741bb15c9c4b1c72320f6df702b32da80519","","98,770.46150952 以太币","0.08225564%","76"
"0x28140cb1ac771d4add91ee23788e50249c10263d","Bitfinex 16","97,634.063475 以太币","0.08130925%","1"
"0xd19d4b5d358258f05d7b411e21a1460d11b0876f","Linea: L1 Message Service","95,369.41987637 以太币","0.07942327%","969,656"
"0xc56fefd1028b0534bfadcdb580d3519b5586246e","Bitfinex 11","95,263.26323519 以太币","0.07933486%","1"
"0xf196c023de1f19d6529133759f449c4b01ce0f51","","94,923.81168363 以太币","0.07905217%","56"
"0x5a52e96bacdabb82fd05763e25335261b270efcb","Binance 28","93,201.03322969 以太币","0.07761744%","2,706"
"0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6","","93,032.0963108 以太币","0.07747675%","5"
"0x0dbd8de20eed94a5693d57998827fcf68ed2ecf4","","92,500.11439622 以太币","0.07703372%","3"
"0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5","Compound: cETH Token","92,381.51066649 以太币","0.07693495%","312,134"
