Address,Name Tag,Balance,Percentage,Txn Count
"0x3895cabab20e8abbe0167aea7badafb0e87cc218","","1,300.80212123 以太币","0.00108330%","25"
"0x2788cc42a79ba44a19d98a532005f6b870e256c0","","1,300.6918 以太币","0.00108321%","1"
"0xfd5d8237da011a140949eb23517fbbb9edf142ce","","1,300.66643977 以太币","0.00108319%","214"
"0x897e3bc14ed74624a4ac2882cf52dfc4084a661b","","1,300.49309826 以太币","0.00108305%","85"
"0x66017d22b0f8556afdd19fc67041899eb65a21bb","Liquity: Stability Pool","1,300.48017486 以太币","0.00108303%","34,492"
"0x4cc2ccefcb5b3fb36e3e02642a034c1bc1f1e6aa","","1,300.46799178 以太币","0.00108302%","4"
"0x1b12e0df975f42e52e98b5273b9e4f1c1cf7ebb6","","1,300.35775213 以太币","0.00108293%","34"
"0x2f0ee81a674fa479649d73f5c5ea4af667fea1b8","","1,300.32776202 以太币","0.00108291%","11"
"0x4a4232d8e3d177ba2d80832339723afa585f057d","","1,300.08941065 以太币","0.00108271%","23"
"0xba81edb3de992051c439a45c18486aafb859062a","","1,300.037 以太币","0.00108267%","2"
"0xec7fcf5ec735373676db9ba51ec4b1db6b22c0db","","1,300.02667336 以太币","0.00108266%","65"
"0xd2da4f960fd9bdf411d1bf00200851125757da0d","","1,300.0011 以太币","0.00108264%","3"
"0x5812f2deb8a4547908b64b8546483c1c293513ee","","1,300 以太币","0.00108263%","1"
"0x4f188cbfa8db689a6f696cec3054f42022b800c5","","1,300 以太币","0.00108263%","182"
"0x7edc968d998f59f6e20a7bb8e8fbb49f449716ff","","1,299.998488 以太币","0.00108263%","2"
"0x416c0a03450794f3d33055cc58aa7afc8ea8aa72","","1,299.66006051 以太币","0.00108235%","6"
"0xf483f4f518c2dc9aa5cf1017ba119afdc355cbac","","1,299.40129333 以太币","0.00108214%","73"
"0x49d17c582cbb0a033d401482be9742616d9ad66a","","1,299.06673133 以太币","0.00108186%","679"
"0xae4537299c12517531344201db4f0d87c6e4f33a","","1,298.9306785 以太币","0.00108174%","4"
"0xc2caae5d9238f1f8c20ddb38851b9333b50bd21d","","1,297.52723869 以太币","0.00108058%","6"
"0xfe377444e525669f8f89f05b681fcc7457e88afa","","1,297.07585144 以太币","0.00108020%","6"
"0xbeb6e40413d6da905052ee0c7d465672f4d92f0d","","1,296.81410374 以太币","0.00107998%","19"
"0xe331821bc94187c2649e932810a60204699d45cb","Bancor: Converter 739","1,296.46191603 以太币","0.00107969%","71"
"0xb1a32fc9f9d8b2cf86c068cae13108809547ef71","","1,295.76370757 以太币","0.00107911%","4"
"0xdcba5decb537a050e555bbff193bac927e5b93e8","","1,294.86547091 以太币","0.00107836%","200"
"0x7919b499ebf147bb72693f93cb8bec9db0a976bb","","1,294.32375579 以太币","0.00107791%","24"
"0xfd7cdbf5553a4c53d8ce292dedf16c41a6de3a12","","1,293.3689 以太币","0.00107711%","18"
"0x3bf0b7ceb0f29b70639df5c753acb83a30b6acde","","1,292.37032863 以太币","0.00107628%","68"
"0x18b23cb2174f4878a07eee9ba965bdfefb40aaba","","1,291.87507423 以太币","0.00107587%","1"
"0x0cb1d4a24292bb89862f599ac5b10f42b6de07e4","","1,291.43407053 以太币","0.00107550%","1,321"
"0x145a2b1e45899fa7d14f835c74a69ead0d77966c","","1,290.60902251 以太币","0.00107481%","581"
"0xc1c141ec0277de512decb326904c62b202da11b9","","1,288.99124242 以太币","0.00107347%","8"
"0x3667191e34fb108605f9c8df1b0efe3fc362f0bf","","1,288.81842533 以太币","0.00107332%","8"
"0x32b9cc34a52132d0b08ce9e75898286a93d6eaa4","","1,288.3496878 以太币","0.00107293%","639"
"0x2096410b2c0c3d78ed97e5f72cd63aef3aaac7e5","","1,287.51821599 以太币","0.00107224%","31"
"0x78736bb714094a1c6aece713d19148ab4e008c61","","1,287.2829814 以太币","0.00107204%","17"
"0x80596bf6a3467502557ce466933e8c4cba2e0b0b","","1,286.94639491 以太币","0.00107176%","399"
"0x07438c963031bd4a8c4bcbb07ba338aa24e1c912","","1,286.55933848 以太币","0.00107144%","8"
"0x15d2c3719f7dda5ef27d56ad93645ed63d56689a","","1,286.11407826 以太币","0.00107107%","44"
"0x94e64d97340d89534c522fc0d6f7e62eaead3ee9","","1,286.089264 以太币","0.00107105%","6"
"0xebff9b75461fd07b1d0b614ddef1b5af6e512b68","","1,285.79384648 以太币","0.00107080%","140"
"0x83812cbc2483af30ad1fdc9443533eb177b6d623","","1,285.71523232 以太币","0.00107074%","46"
"0x66d1993c907a909eb8c91fe71428cd03aa260814","","1,284.99029413 以太币","0.00107013%","7"
"0x67e022256e5de118994476a621d709d658b65f04","","1,284.93171882 以太币","0.00107009%","8,865"
"0x7f755b95ac28e5102308c8b9d52ec20fdf59582e","","1,284.7931711 以太币","0.00106997%","15"
"0x820fa14e2b7fc6dab1b8e9b69b31fc8199e07403","","1,284.70744086 以太币","0.00106990%","1"
"0x5576cd8bc285c5258819d71bcc774712f5ef60a4","","1,284.19393973 以太币","0.00106947%","2"
"0xe85f85d0414da325fca4ab2edc5e7a752245fb0f","","1,283.26019831 以太币","0.00106869%","66"
"0x10ef7a0d8e307dfb41ed27ce09da2f5c6871a3d6","","1,283.13324996 以太币","0.00106859%","342"
"0x5b34d6cce60e237872697720a60c96876422761d","","1,283.05416712 以太币","0.00106852%","15"
"0xd8a0c877e50c434ff151115c2cb5e1ec9d195ca1","","1,282.48972783 以太币","0.00106805%","7"
"0xe5f04d458a001e4dde3a2c65114183dc157f95f9","","1,282.45539659 以太币","0.00106802%","112"
"0x0d3283ac30ee8b96a177f3fc13662d5de4465fa2","","1,282.35855967 以太币","0.00106794%","30"
"0xa5377315aaf8205615b25d5790fbb21daff1f071","","1,282.05186353 以太币","0.00106769%","127"
"0x17f020bc9017a0b08bb2b2c44bd8efd938ff10ca","","1,281.69424691 以太币","0.00106739%","12"
"0xee1cc58b2b8501d2615a4b3bee23071d48db9d47","","1,281.68688301 以太币","0.00106738%","3"
"0x53fb0162bc8d5eec2fb1532923c4f8997bace111","","1,281.66855106 以太币","0.00106737%","2,450"
"0x32fa0e86cd087dd68d693190f32d93310909ed53","","1,281.63711203 以太币","0.00106734%","27"
"0xe0e97dfa217f22cf41821dafebda725daf70181e","","1,280.22674821 以太币","0.00106617%","2"
"0xdd5da522cfb3441d529cb8f6b4a015ecce75780d","","1,280.10066097 以太币","0.00106606%","2"
