Address,Name Tag,Balance,Percentage,Txn Count
"0x524c4f18e9943a80834ebec9c6151f18f2a82c5f","","1,194.5316836 以太币","0.00099480%","5"
"0x604981db0c06ea1b37495265eda4619c8eb95a3d","","1,194.01219387 以太币","0.00099437%","6"
"0xde135f3771a03e7bfde7d626fedc27f1474c82f6","","1,193.99 以太币","0.00099435%","1"
"0x3fe171bcf949c1239e2a280a24e74d711608b71f","","1,193.94395063 以太币","0.00099431%","26"
"0xe0b3814c20c96d1890323fc8485a36b5ebf42488","","1,193.70406335 以太币","0.00099411%","473"
"0x148426fdc4c8a51b96b4bed827907b5fa6491ad0","bZx Exploiter 1","1,193.69289949 以太币","0.00099410%","79"
"0x8dd42769fe0f025c879eb3b0903862ceb1842555","","1,193.14200842 以太币","0.00099364%","11"
"0x9a6abf2133b8ba850a4de65a214b5fd0ed68bf88","","1,192.85104223 以太币","0.00099340%","2"
"0x07565c8b155cdd92eceb44f6f51850df5fcd58f0","","1,192.1310311 以太币","0.00099280%","39"
"0xd99f0d3c28888d26468d2ceda9117fbebb8283e8","","1,190.99017199 以太币","0.00099185%","5"
"0x57ecda28839520cbb3166181df18bd1e22537dad","","1,190.45560917 以太币","0.00099141%","73"
"0x88f9bf241cbca29bc09826419af3a0a1d2fc6db1","","1,189.99589372 以太币","0.00099102%","10"
"0xdd783b5f215584096eb7ca66a00a5b357fef55f8","","1,189.79403633 以太币","0.00099086%","17"
"0x737901bea3eeb88459df9ef1be8ff3ae1b42a2ba","Aztec: Private Rollup Bridge","1,189.7824522 以太币","0.00099085%","95,084"
"0xdb73875fb771b95d6fecf967c00e00862c133f32","","1,189.00592359 以太币","0.00099020%","51"
"0x18eff77a491b037a2f474dff9e6dd528a6519834","","1,188.736598 以太币","0.00098998%","9"
"0xb1338c7e2b037ab93fa9ff49123b7fd3bf9375df","","1,188.6774357 以太币","0.00098993%","2"
"0x620085b4100ec1cc540462ac82352f60edf3a952","","1,188.349031 以太币","0.00098965%","5"
"0x19c103cfa4dc3615040e4c54a58dc2ffbf541784","","1,187.56759728 以太币","0.00098900%","15"
"0xbe3d7b625315ab5271581f389756d44d0b340ee6","","1,187.31165308 以太币","0.00098879%","71"
"0x4d4ba3eae774a5213a6ad2492ca942473c837691","","1,186.03178175 以太币","0.00098772%","24"
"0x13199f53d234f9b9a12fcc6b2bd242b31e34062f","","1,184.9664352 以太币","0.00098684%","17"
