Address,Name Tag,Balance,Percentage,Txn Count
"0x4976a4a02f38326660d17bf34b431dc6e2eb2327","Binance 20","23,870.98394985 以太币","0.01987966%","3,870,665"
"0xf4e11b89519eccd988a56749f1c64ad9bfe0298f","","23,777.72735202 以太币","0.01980200%","251"
"0x0b691757950dc0781c0a56b7ce6741f04b04c977","","23,768.57148636 以太币","0.01979437%","1"
"0x8b34b14c7c7123459cf3076b8cb929be097d0c07","Mode: Optimism Portal Proxy","23,763.62000944 以太币","0.01979025%","8,716"
"0xa4ba59edffeb8bf4036907b3cd2bc4da8c90f5c5","","23,758.11348603 以太币","0.01978566%","1"
"0xddf744374b46aa980ddce4a5aa216478bf925cd1","","23,679.32144809 以太币","0.01972004%","278"
"0xa646e29877d52b9e2de457eca09c724ff16d0a2b","Status: Research & Development MultiSig","23,550.11000066 以太币","0.01961244%","240"
"0x5126ec2d8834b63a962fc471e2a6b12641454fe8","","23,505.5157533 以太币","0.01957530%","13"
"0x21a31ee1afc51d94c2efccaa2092ad1028285549","Binance 15","23,190.39645105 以太币","0.01931287%","9,001,779"
"0x649614d3f7a7d68b3cf3c00264a07eeae4326fdc","","23,073.401 以太币","0.01921544%","6"
"0x09de84ea4c30695d4899290cdc7305191e9c4b79","","23,000 以太币","0.01915431%","1"
"0xebec795c9c8bbd61ffc14a6662944748f299cacf","Fee Recipient: 0xeBe...Acf","22,996.4768564 以太币","0.01915137%","158,719"
"0xbe8fe56063aa85014ea674db171dcba015c3a4d4","","22,735.07818158 以太币","0.01893368%","2"
"0x34780c209d5c575cc1c1ceb57af95d4d2a69ddcf","","22,689.8260263 以太币","0.01889600%","54"
"0xde8b1b1c6501c4aac85df0e64a198fb7bb65ea60","","22,500.03520728 以太币","0.01873794%","2"
"0xbc5a4a09450b4106be9a4df3d85da3f4617e819f","","22,386.07355614 以太币","0.01864303%","276"
"0xcddf488f1c826160ee832d4f1492f00cf8557ff6","","22,343.48 以太币","0.01860756%","120"
"0xd01ae1a708614948b2b5e0b7ab5be6afa01325c7","QubitFin Exploiter","22,212.58885184 以太币","0.01849855%","136"
"0x8f509a90c2e47779ca408fe00d7a72e359229ada","","22,181.31495285 以太币","0.01847251%","77"
"0x76af7cc13a270adf99cc09bce9fbd7f3201cc417","","22,116.29013479 以太币","0.01841836%","7"
"0xc675b6e02a1687f85945d9ed9cae6958eaa80e71","","22,116.29013479 以太币","0.01841836%","8"
"0x3706f22de060a353f1a811b5bd29226875624ca5","","22,116.29013479 以太币","0.01841836%","8"
"0xfebc132a7bd16e4ea3a389119e0447413c9cc0eb","","22,116.29013479 以太币","0.01841836%","10"
"0xafc5a9d8ad1b71253d09ac42e43a6d18f78479d1","","22,116.29013479 以太币","0.01841836%","9"
"0x961fbe41e741e862b0d9edbc153bf362e5b9b462","","22,116.29013479 以太币","0.01841836%","10"
"0xbfa5ad5efe4f6922a29913faf0eca89d3e1c0eaa","","22,116.29013479 以太币","0.01841836%","7"
"0xdde325931616b32dbbd41d42a5baf05db8a97097","","22,116.29013479 以太币","0.01841836%","9"
"0x25cd3ac5b7d1330a28e86f24b2a6ee9811b86a02","","22,116.29013479 以太币","0.01841836%","8"
"0xedc4402812c1e4d8312a5a2ed7bfee89c49613ba","","22,090.45204061 以太币","0.01839684%","29"
"0x79b91d213e019c62e6d1ef87c2e6e9fd07320373","","22,088.43704875 以太币","0.01839516%","28"
"0x6fe6b1ab512a0bbef752086bded463107dd8ba15","","22,083.554975 以太币","0.01839110%","25"
"0xabf81ecd63f1e4816abb1747aedbcde720459fe0","","22,080.759239 以太币","0.01838877%","22"
"0x378d1814b1d3d84c10a51317d26584b61c70b617","","22,079.98418 以太币","0.01838812%","20"
"0xe09f3fd42f4b7d6d2d70d412298973658f2b23b5","","22,078.99129814 以太币","0.01838729%","27"
"0xf965a1210b41d72c5faca937d8f3834a8816db4f","","21,982.48156771 以太币","0.01830692%","82"
"0xa40f46d4dbd33be5f4cc11772e95f8fa8dc67dab","","21,953.01321883 以太币","0.01828238%","1"
"0xc155e5ca4e17041333ae66728b1fd77bf178be74","","21,860.86052198 以太币","0.01820564%","38"
"0x5a814d65a25cf2463f8988a2ca685012fcbc30be","","21,858.70571214 以太币","0.01820384%","54"
"0x3bbf4e8fadbff1be660b2fd6cae33314caeaa301","","21,845.53749432 以太币","0.01819288%","54"
